tenyear_ratio_change,DGP_perhead,region
0.0003321,31322,East_Around_London
0.0001772,25425,East_Around_London
0.0002738,26815,East_Around_London
0.0002563,28046,East_Around_London
0.0001028,23313,East_Around_London
0.0001994,28814,East_Around_London
0.0000889,33773,East_Around_London
0.0000971,22024,East_Around_London
-0.0002916,22232,East_Around_London
0.0001869,27735,East_Around_London
0.0000057,33608,East_Around_London
0.0002396,25427,East_Around_London
0.0001201,26935,East_Around_London
0.0001257,37634,East_Around_London
0.0001835,32477,East_Around_London
0.0002360,21833,East_Around_London
0.0001517,37727,East_Around_London
0.0001605,19772,East_Around_London
0.0000616,27937,East_Around_London
0.0001385,28283,East_Around_London
0.0005462,46706,East_Around_London
0.0000136,32231,East_Around_London
0.0002821,32296,East_Around_London
0.0002264,19759,East_Around_London
0.0001459,34575,East_Around_London
0.0004687,21573,East_Around_London
0.0001250,26939,East_Around_London
0.0001582,23236,East_Around_London
-0.0001374,56042,East_Around_London
0.0003145,35375,East_Around_London
0.0002402,30872,East_Around_London
0.0001036,56482,East_Around_London
0.0004011,58427,East_Around_London
0.0000317,34491,East_Around_London
0.0000184,39998,East_Around_London
0.0000827,52684,East_Around_London
0.0000783,62773,East_Around_London
0.0002643,55831,East_Around_London
0.0002738,45253,East_Around_London
0.00076339,19544,London
0.00058835,26051,London
0.00058454,28039,London
0.00046883,29579,London
0.00080577,28444,London
0.00027917,135520,London
0.00007400,7881451,London
0.00068891,27487,London
0.00075172,31030,London
0.00067013,26434,London
0.00061051,22518,London
0.00101449,31737,London
0.00031004,62478,London
0.00065937,18155,London
0.00073483,24189,London
0.00045239,25802,London
0.00045545,53313,London
0.00047082,68136,London
0.00070799,82492,London
0.00081654,71268,London
0.00077031,33383,London
0.00076375,41927,London
0.00067340,15167,London
0.00067926,30989,London
0.00066532,21728,London
0.00065341,19717,London
0.00076302,41752,London
0.00081390,66912,London
0.00060774,24294,London
0.00073881,110503,London
0.00055161,18211,London
0.00050162,27197,London
0.00069370,277831,London
0.00009020,27227,North_East
0.00040491,19533,North_East
0.00068906,23700,North_East
0.00024977,17982,North_East
0.00024517,24189,North_East
0.00034239,33827,North_East
0.00038777,24601,North_East
0.00042602,19052,North_East
0.00021409,15943,North_East
0.00034230,15538,North_East
0.00034350,27640,North_East
0.00037021,28744,North_East
0.00084385,23874,North_West
0.00010437,22358,North_West
0.00050299,23486,North_West
0.00041075,20824,North_West
0.00049571,40060,North_West
0.00056404,34843,North_West
0.00024206,27110,North_West
0.00023713,36023,North_West
0.00051396,27174,North_West
0.00039174,25599,North_West
0.00070090,29215,North_West
0.00036343,45759,North_West
0.00066090,19790,North_West
0.00073380,19497,North_West
0.00035032,33328,North_West
0.00044151,18052,North_West
0.00018161,18420,North_West
0.00047422,26657,North_West
0.00063478,18422,North_West
0.00037440,42636,North_West
0.00035311,40105,North_West
0.00054669,18802,North_West
0.00048750,18497,North_West
0.00005630,25133,South_West
0.00003110,29192,South_West
0.00031538,35163,South_West
0.00030908,22637,South_West
0.00016730,24494,South_West
0.00028056,23424,South_West
0.00025753,31870,South_West
-0.00063338,37421,South_West
0.00010150,24609,South_West
0.00013536,24019,South_West
0.00019828,29192,South_West
0.00018515,24581,South_West
0.00018479,45988,South_West
0.00017584,45759,South_West
-0.00009640,17093,South_West
-0.00009820,26113,South_West
0.00048948,26349,West_Midlands
0.00042734,29681,West_Midlands
0.00054577,19452,West_Midlands
0.00019184,23320,West_Midlands
0.00031237,23262,West_Midlands
0.00025196,22359,West_Midlands
0.00009360,50339,West_Midlands
0.00021764,24217,West_Midlands
0.00002640,26237,West_Midlands
0.00010940,28391,West_Midlands
0.00041265,19454,West_Midlands
0.00014263,38805,West_Midlands
0.00052979,21985,West_Midlands
0.00022189,27464,West_Midlands
0.00045595,18769,Yorkshire_and_the_Humber
0.00045229,21031,Yorkshire_and_the_Humber
0.00030985,22091,Yorkshire_and_the_Humber
0.00037847,21983,Yorkshire_and_the_Humber
0.00021836,23840,Yorkshire_and_the_Humber
0.00031300,26303,Yorkshire_and_the_Humber
0.00045873,20281,Yorkshire_and_the_Humber
0.00044886,36589,Yorkshire_and_the_Humber
0.00021931,22991,Yorkshire_and_the_Humber
0.00027973,29561,Yorkshire_and_the_Humber
0.00031298,28651,Yorkshire_and_the_Humber
0.00015789,21303,Yorkshire_and_the_Humber
0.00043735,24459,Yorkshire_and_the_Humber
0.00044814,25705,Yorkshire_and_the_Humber
0.00070530,32704,Yorkshire_and_the_Humber
